"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Product Catalog","Actor searches for product that doesn't exist","0","1","0","0","0"
"","Filter","","0","2","0","0","0"
"","Shopping Cart","","0","2","0","0","0"
"","Product Catalog","Actor sorts product by Price","0","2","0","0","0"
"","","","0","5","0","2","0"
"","Product Catalog","","0","9","0","0","0"
"Contact EPIC","Contacts","","0","1","1","0","0"
"","Product Catalog","Actor searches for general term","0","1","0","0","0"
"Contact EPIC","Creating new user API","","0","0","1","0","0"
"","Product Catalog","Actor filters by Hand Tools category","0","1","0","0","0"
"","Product Catalog","Actor sorts product by Name","0","2","0","0","0"
"Contact EPIC","Creating new user web","","0","1","0","0","0"
"","Product Catalog","Actor searches for Combination Pliers","0","1","0","0","0"
