"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 03 11:13:25 UTC 2026","Mon Aug 03 11:13:57 UTC 2026","31608","","com.playwright.toolshop.tests.product.MainPageTests","","com.playwright.toolshop.tests.product.MainPageTests","shouldUpdateCartItemCount","shouldUpdateCartItemCount()",""
"skipped","Mon Aug 03 11:11:51 UTC 2026","Mon Aug 03 11:11:51 UTC 2026","0","","com.playwright.toolshop.tests.api.ProductAPITests","","com.playwright.toolshop.tests.api.ProductAPITests","checkKnownProducts","Checking price and name in the API",""
"broken","Mon Aug 03 11:14:15 UTC 2026","Mon Aug 03 11:14:26 UTC 2026","11089","","Product Catalog","","Actor sorts product by Price","","Actor sorts product by Price","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly"
"broken","Mon Aug 03 11:11:51 UTC 2026","Mon Aug 03 11:12:24 UTC 2026","32154","","com.playwright.toolshop.tests.contact.ContactTests","","com.playwright.toolshop.tests.contact.ContactTests","checkContactPageErrorMessages","Check contact request validations",""
"broken","Mon Aug 03 11:14:03 UTC 2026","Mon Aug 03 11:14:15 UTC 2026","11915","","Product Catalog","","Actor filters by Hand Tools category","","Actor filters by Hand Tools category","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly"
"broken","Mon Aug 03 11:12:53 UTC 2026","Mon Aug 03 11:13:24 UTC 2026","30641","","com.playwright.toolshop.tests.product.MainPageTests","","com.playwright.toolshop.tests.product.MainPageTests","checkThatProductPageIsOpenedAndBadgesAreShown","Out of stock products should not be filtered by search",""
"broken","Mon Aug 03 11:11:05 UTC 2026","Mon Aug 03 11:11:54 UTC 2026","49791","","com.playwright.toolshop.tests.login.LoginPageTests","","com.playwright.toolshop.tests.login.LoginPageTests","newValidUserShouldNotBeLoggedIn","newValidUserShouldNotBeLoggedIn()",""
"broken","Mon Aug 03 11:14:03 UTC 2026","Mon Aug 03 11:14:15 UTC 2026","11601","","Product Catalog","","Actor searches for product that doesn't exist","","Actor searches for product that doesn't exist","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly"
"broken","Mon Aug 03 11:13:31 UTC 2026","Mon Aug 03 11:14:02 UTC 2026","30870","","com.playwright.toolshop.tests.product.MainPageTests","","com.playwright.toolshop.tests.product.MainPageTests","shouldShowProductImages","Product images with titles should be shown",""
"passed","Mon Aug 03 11:12:55 UTC 2026","Mon Aug 03 11:12:59 UTC 2026","4687","","com.playwright.toolshop.tests.contact.ContactAPITest","","com.playwright.toolshop.tests.contact.ContactAPITest","validUserIsCreated","Valid user should be created via API",""
"broken","Mon Aug 03 11:11:51 UTC 2026","Mon Aug 03 11:12:22 UTC 2026","31017","","com.playwright.toolshop.tests.product.MainPageTests","","com.playwright.toolshop.tests.product.MainPageTests","checkSearchFeature","Correct searched products should be shown",""
"broken","Mon Aug 03 11:14:15 UTC 2026","Mon Aug 03 11:14:27 UTC 2026","11294","","Product Catalog","","Actor searches for Combination Pliers","","Actor searches for Combination Pliers","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly"
"broken","Mon Aug 03 11:12:26 UTC 2026","Mon Aug 03 11:12:58 UTC 2026","31829","","com.playwright.toolshop.tests.login.LoginPageTests","","com.playwright.toolshop.tests.login.LoginPageTests","validUserShouldNotBeLoggedIn","validUserShouldNotBeLoggedIn()",""
"broken","Mon Aug 03 11:11:18 UTC 2026","Mon Aug 03 11:11:51 UTC 2026","32888","","com.playwright.toolshop.tests.api.ProductAPITests","","com.playwright.toolshop.tests.api.ProductAPITests","mockedResponseSortedAZ","Mock product request",""
"broken","Mon Aug 03 11:12:22 UTC 2026","Mon Aug 03 11:12:53 UTC 2026","30702","","com.playwright.toolshop.tests.product.MainPageTests","","com.playwright.toolshop.tests.product.MainPageTests","checkRelatedProduct","Check related products",""
"broken","Mon Aug 03 11:13:31 UTC 2026","Mon Aug 03 11:14:02 UTC 2026","30649","","com.playwright.toolshop.tests.product.MainPageTests","","com.playwright.toolshop.tests.product.MainPageTests","shouldDisplayToasterMessage","Clicking on Page logo redirects to main page",""
"passed","Mon Aug 03 11:12:59 UTC 2026","Mon Aug 03 11:12:59 UTC 2026","956","","com.playwright.toolshop.tests.contact.ContactAPITest","","com.playwright.toolshop.tests.contact.ContactAPITest","firstNameIsMandatory","First name field is mandatory for user creation via API",""
"broken","Mon Aug 03 11:12:59 UTC 2026","Mon Aug 03 11:13:31 UTC 2026","31709","","com.playwright.toolshop.tests.product.MainPageTests","","com.playwright.toolshop.tests.product.MainPageTests","clickingOnSiteLogoRedirectsToMainPage","Clicking on Page logo redirects to main page",""
